                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.514,                 2.2386,                 1.6114,                0.71693,                0.63949,                0.71853,                 0.4222,                 1.3116,                 1.3392,                 1.5061,               0.070349,              0.0032946,              0.0032946
                      1,                  1.255,                 1.1148,                 1.3081,                0.77524,                0.76631,                 0.8267,                0.50914,                 1.3198,                0.91542,                 1.4109,               0.040086,              0.0063654,              0.0063654
                      2,                 1.2146,                0.98136,                 1.2448,                0.84565,                0.74035,                0.84712,                0.53468,                 1.1843,                0.88584,                 1.2883,              0.0095599,              0.0091723,              0.0091723
                      3,                  1.215,                 1.0106,                 1.2369,                0.80117,                0.74783,                0.83372,                0.52001,                 1.2531,                0.91905,                 1.3687,               0.008812,               0.008812,               0.008812
                      4,                 1.2224,                0.96042,                  1.237,                0.77573,                0.72772,                0.78616,                0.44137,                 1.3774,                0.97514,                 1.4598,               0.008812,               0.008812,               0.008812
                      5,                 1.1845,                0.91803,                 1.2245,                0.84437,                0.72812,                 0.8114,                0.48659,                 1.2759,                 1.0332,                 1.3665,               0.008416,               0.008416,               0.008416
                      6,                 1.1657,                0.84733,                 1.2051,                 0.8118,                0.62848,                0.75055,                0.45773,                 1.2753,                 1.3406,                   1.37,                0.00802,                0.00802,                0.00802
                      7,                 1.1236,                0.82592,                 1.1778,                0.82455,                0.76277,                 0.8465,                0.54601,                  1.161,                 0.8171,                 1.2685,               0.007624,               0.007624,               0.007624
                      8,                 1.1517,                 0.8348,                 1.2055,                0.81598,                 0.7888,                0.84959,                0.54686,                 1.1763,                0.79621,                 1.2929,               0.007228,               0.007228,               0.007228
                      9,                 1.0987,                0.78074,                 1.1591,                0.86808,                0.79021,                0.88345,                0.59492,                 1.0738,                0.71356,                 1.2125,               0.006832,               0.006832,               0.006832
                     10,                 1.0854,                0.74563,                  1.145,                0.84447,                0.82597,                0.87986,                0.57685,                 1.1038,                0.68261,                 1.2529,               0.006436,               0.006436,               0.006436
                     11,                 1.0407,                0.70039,                 1.1337,                0.84973,                0.78607,                0.87329,                0.54208,                 1.3075,                0.78438,                  1.455,                0.00604,                0.00604,                0.00604
                     12,                 1.0139,                0.67775,                 1.1289,                0.88413,                0.84105,                0.91772,                0.61747,                  1.056,                0.61957,                 1.2101,               0.005644,               0.005644,               0.005644
                     13,                 0.9776,                0.66297,                 1.1094,                0.89789,                0.83648,                0.91222,                0.61279,                 1.0711,                0.60158,                 1.2108,               0.005248,               0.005248,               0.005248
                     14,                0.96355,                 0.6319,                  1.085,                0.90027,                 0.8514,                0.93071,                0.65246,                 1.0086,                0.56443,                 1.1765,               0.004852,               0.004852,               0.004852
                     15,                0.94327,                0.59304,                 1.0826,                0.87325,                0.84118,                0.90765,                0.63314,                 1.0367,                0.57006,                 1.1901,               0.004456,               0.004456,               0.004456
                     16,                0.90946,                0.56319,                 1.0655,                0.89519,                0.86634,                0.93103,                 0.6512,                 1.0004,                0.54495,                 1.1699,                0.00406,                0.00406,                0.00406
                     17,                0.88028,                0.55375,                 1.0502,                0.86667,                0.83527,                0.90286,                0.63552,                 1.0015,                0.57116,                   1.15,               0.003664,               0.003664,               0.003664
                     18,                0.89148,                0.55062,                  1.057,                0.85821,                0.86488,                0.91551,                0.65171,                 1.0015,                0.52577,                 1.1706,               0.003268,               0.003268,               0.003268
                     19,                0.86618,                0.51975,                 1.0423,                0.87478,                0.85135,                0.92267,                0.66134,                0.97909,                0.50076,                 1.1518,               0.002872,               0.002872,               0.002872
                     20,                0.85822,                0.51144,                 1.0368,                0.90637,                0.86008,                0.93554,                0.67364,                0.94014,                0.49624,                   1.12,               0.002476,               0.002476,               0.002476
                     21,                0.83282,                0.49257,                 1.0239,                0.91714,                0.85157,                0.93062,                0.67077,                0.93794,                0.47686,                 1.1195,                0.00208,                0.00208,                0.00208
                     22,                0.79133,                0.46908,                  1.012,                0.88609,                 0.8431,                0.90594,                0.65831,                0.97664,                0.49734,                 1.1674,               0.001684,               0.001684,               0.001684
                     23,                0.78428,                 0.4691,                 1.0075,                0.91506,                0.87037,                0.93638,                0.67657,                 0.9276,                0.46421,                 1.1238,               0.001288,               0.001288,               0.001288
                     24,                0.77528,                0.45184,                 1.0041,                0.92835,                0.86722,                0.93921,                0.68685,                0.91529,                0.45309,                 1.1056,               0.000892,               0.000892,               0.000892
