                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5968,                 5.4261,                 2.7326,                0.24843,                0.13131,                0.10588,                0.04265,                 2.3529,                 3.3083,                 2.0848,                 0.0721,                 0.0031,                 0.0031
                      1,                 2.5528,                  2.862,                 1.9564,                0.21394,                0.27273,                0.18148,                0.04837,                 2.5088,                 4.7176,                  2.418,               0.043175,              0.0061753,              0.0061753
                      2,                 2.2304,                 2.5715,                 1.7373,                0.33201,                0.16667,                0.20312,                0.07532,                 2.2846,                 2.7471,                 2.0482,               0.014124,              0.0091238,              0.0091238
                      3,                 2.0587,                 2.3033,                 1.5891,                0.38475,                0.32828,                0.28694,                0.09471,                 2.3252,                 2.7467,                 2.1333,               0.009406,               0.009406,               0.009406
                      4,                  1.954,                 2.1819,                 1.5659,                0.46708,                0.43434,                0.40383,                0.13093,                 2.2064,                 4.3094,                 1.9928,               0.009406,               0.009406,               0.009406
                      5,                 1.9592,                 1.9451,                 1.5472,                0.50749,                0.33333,                0.35134,                0.10126,                 2.4568,                 3.2618,                 2.1735,               0.009208,               0.009208,               0.009208
                      6,                  1.859,                 1.7808,                 1.4844,                0.39202,                0.35497,                0.29665,                0.08771,                 2.4398,                 2.1856,                 2.1579,                0.00901,                0.00901,                0.00901
                      7,                 1.8983,                 1.7746,                  1.554,                0.56836,                0.42929,                0.46681,                0.17973,                 2.0342,                 2.2063,                 1.8613,               0.008812,               0.008812,               0.008812
                      8,                 1.8222,                 1.6618,                 1.4925,                0.67894,                 0.4798,                0.53346,                0.20394,                 1.9862,                  2.018,                 1.8435,               0.008614,               0.008614,               0.008614
                      9,                 1.7312,                 1.5354,                 1.3979,                0.55071,                0.47475,                0.47583,                0.13761,                 2.4864,                 1.8576,                 2.1549,               0.008416,               0.008416,               0.008416
