                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98865,                 1.7147,                 1.1025,                0.92714,                0.90758,                0.95666,                0.80301,                0.64535,                0.58411,                0.93178,               0.070286,              0.0033016,              0.0033016
                      1,                0.85733,                0.64504,                 1.0334,                0.93022,                0.92385,                0.96895,                0.82012,                0.62629,                0.50337,                0.93515,               0.040154,              0.0065035,              0.0065035
                      2,                0.87619,                0.61173,                 1.0305,                0.95005,                0.94488,                0.97507,                0.81924,                0.64064,                0.53995,                0.93465,               0.009891,              0.0095735,              0.0095735
                      3,                0.87204,                0.57477,                 1.0387,                0.96074,                0.95188,                0.98019,                0.81916,                0.67883,                0.42976,                0.94303,               0.009406,               0.009406,               0.009406
                      4,                0.87241,                0.53315,                 1.0267,                0.97416,                0.95734,                0.97933,                0.82457,                0.63721,                0.41754,                0.92875,               0.009406,               0.009406,               0.009406
                      5,                0.84606,                 0.5303,                 1.0173,                0.94474,                0.92947,                0.97021,                0.82547,                0.64138,                0.43131,                0.93482,               0.009208,               0.009208,               0.009208
                      6,                0.83038,                0.49207,                 1.0151,                0.93753,                0.93176,                0.97143,                0.81482,                0.65146,                0.45774,                0.94239,                0.00901,                0.00901,                0.00901
                      7,                0.82646,                0.48308,                 1.0118,                0.97619,                0.95067,                0.98035,                0.84163,                 0.6158,                0.37961,                0.92062,               0.008812,               0.008812,               0.008812
                      8,                0.79847,                0.46669,                 0.9923,                0.96946,                0.95665,                0.97871,                0.83817,                0.61107,                0.37609,                 0.9276,               0.008614,               0.008614,               0.008614
                      9,                0.80098,                0.44976,                0.99901,                0.96563,                0.95765,                0.97987,                0.84425,                0.59279,                0.36537,                0.91377,               0.008416,               0.008416,               0.008416
                     10,                0.78253,                0.44362,                0.98718,                0.97614,                0.95885,                0.98181,                0.84623,                0.60354,                0.34714,                0.91593,               0.008218,               0.008218,               0.008218
                     11,                0.76505,                0.43479,                 0.9848,                0.97592,                0.95987,                0.97923,                0.83398,                0.63071,                0.35089,                0.93497,                0.00802,                0.00802,                0.00802
