                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6996,                 2.4883,                 1.4181,                0.33271,                 0.3964,                0.34533,                0.20258,                 1.4295,                 1.5317,                 1.1804,               0.070147,               0.003317,               0.003317
                      1,                 1.2765,                 1.3978,                 1.1524,                0.45643,                0.52814,                0.48148,                0.29671,                 1.3358,                 1.2787,                 1.1294,               0.039884,               0.006387,               0.006387
                      2,                  1.253,                 1.2659,                 1.1293,                0.52515,                0.54693,                0.51985,                 0.3198,                 1.3651,                 1.2204,                  1.159,              0.0093564,               0.009193,               0.009193
                      3,                 1.2376,                 1.2027,                 1.1189,                0.52534,                0.55186,                0.53899,                0.33298,                 1.3297,                  1.173,                  1.139,               0.008812,               0.008812,               0.008812
                      4,                 1.2003,                 1.1334,                 1.1036,                0.58965,                0.57706,                0.58019,                0.36291,                 1.3075,                 1.0891,                 1.1201,               0.008812,               0.008812,               0.008812
                      5,                 1.1736,                 1.0747,                 1.0879,                 0.5764,                0.61475,                0.60579,                0.37226,                 1.2953,                 1.0497,                 1.1027,               0.008416,               0.008416,               0.008416
                      6,                 1.1435,                   1.02,                 1.0813,                0.58681,                0.62654,                0.61929,                0.38231,                 1.3091,                 1.0087,                 1.1153,                0.00802,                0.00802,                0.00802
                      7,                 1.1262,                0.99689,                 1.0697,                0.60626,                0.64803,                 0.6387,                0.38862,                 1.3041,                0.98123,                 1.0986,               0.007624,               0.007624,               0.007624
                      8,                 1.1094,                0.96295,                 1.0592,                0.62184,                0.67256,                0.67053,                0.42076,                 1.2602,                 0.9129,                 1.0823,               0.007228,               0.007228,               0.007228
                      9,                 1.0892,                0.93038,                  1.056,                0.64968,                0.66608,                0.67592,                0.42836,                 1.2515,                0.88978,                 1.0781,               0.006832,               0.006832,               0.006832
                     10,                 1.0811,                 0.9113,                  1.051,                0.64571,                0.68734,                0.68292,                0.43393,                 1.2389,                0.87596,                 1.0736,               0.006436,               0.006436,               0.006436
                     11,                   1.07,                0.88686,                  1.042,                0.69669,                0.69586,                0.71607,                0.45013,                 1.2545,                 0.8489,                 1.0749,                0.00604,                0.00604,                0.00604
                     12,                  1.059,                0.86706,                 1.0368,                0.64574,                 0.6983,                0.68557,                0.43428,                 1.2449,                0.88307,                 1.0811,               0.005644,               0.005644,               0.005644
                     13,                 1.0454,                0.84401,                 1.0308,                0.68302,                0.68734,                0.71446,                0.45439,                 1.2291,                0.84271,                 1.0645,               0.005248,               0.005248,               0.005248
                     14,                 1.0417,                0.83866,                 1.0309,                0.68218,                0.69721,                 0.7134,                0.45827,                 1.2113,                0.82913,                 1.0592,               0.004852,               0.004852,               0.004852
                     15,                 1.0321,                0.81095,                  1.024,                0.69091,                0.70544,                0.72409,                0.46232,                 1.2234,                0.80269,                 1.0602,               0.004456,               0.004456,               0.004456
                     16,                  1.019,                0.80123,                 1.0227,                0.69717,                0.71459,                0.72283,                0.46607,                 1.2165,                0.79924,                 1.0638,                0.00406,                0.00406,                0.00406
                     17,                 1.0159,                0.78146,                  1.018,                 0.6676,                0.74068,                0.72521,                0.46423,                 1.2152,                0.79643,                 1.0596,               0.003664,               0.003664,               0.003664
                     18,                0.99854,                  0.768,                 1.0115,                0.70666,                0.72054,                0.73153,                0.47177,                 1.2061,                0.77712,                 1.0489,               0.003268,               0.003268,               0.003268
                     19,                0.99413,                0.74638,                 1.0072,                0.70058,                0.73881,                0.73783,                0.47413,                   1.21,                0.77733,                 1.0498,               0.002872,               0.002872,               0.002872
                     20,                0.98156,                0.72905,                 1.0026,                0.71861,                0.72353,                0.74625,                0.47662,                 1.2112,                0.75851,                 1.0531,               0.002476,               0.002476,               0.002476
                     21,                0.97802,                0.72148,                  1.005,                0.71932,                0.75367,                0.75644,                0.48089,                  1.209,                0.74457,                 1.0516,                0.00208,                0.00208,                0.00208
                     22,                0.97428,                0.70754,                  1.002,                0.71457,                0.74441,                0.75445,                0.48744,                 1.1996,                0.73993,                 1.0465,               0.001684,               0.001684,               0.001684
                     23,                0.95997,                0.68997,                0.99659,                0.72572,                0.73929,                0.75333,                0.48677,                 1.1912,                0.73173,                  1.043,               0.001288,               0.001288,               0.001288
                     24,                0.95717,                0.68466,                0.99292,                0.72431,                0.74322,                0.75613,                0.48858,                 1.1951,                0.72742,                 1.0421,               0.000892,               0.000892,               0.000892
